i,c,d,h,t,s,qtd_p,e
50,1047,2021-02-02,14:13,75.37,CANCELADO,4,São Paulo
51,1048,2020-10-06,08:05,257.36,DEVOLUÇÃO,7,Ceará
52,1049,2021-03-04,07:09,69.63,COMPRA,4,Santa Catarina
53,1050,2021-01-27,09:49,55.73,COMPRA,1,Bahia
54,1051,2020-12-24,04:26,185.97,COMPRA,2,Goiás
55,1052,2020-04-23,00:32,75.14,COMPRA,4,Maranhão
56,1053,2021-02-27,02:55,130.65,CANCELADO,6,Rio de Janeiro
57,1054,2020-07-07,15:18,211.23,DEVOLUÇÃO,5,Ceará
58,1055,2020-04-28,16:41,141.14,CANCELADO,5,Bahia
59,1056,2020-08-29,16:56,133.51,CANCELADO,1,Ceará
60,1057,2020-08-05,13:54,190.48,COMPRA,6,Paraíba
61,1058,2020-05-29,08:28,201.82,DEVOLUÇÃO,2,São Paulo
62,1059,2020-03-27,03:43,98.21,CANCELADO,3,Rio Grande do Sul
63,1060,2021-03-05,23:54,198.73,COMPRA,7,Paraná
64,1061,2020-09-19,09:15,164.23,COMPRA,6,Santa Catarina
65,1062,2020-09-16,18:33,217.52,DEVOLUÇÃO,4,Minas Gerais
66,1063,2020-03-06,06:08,42.67,DEVOLUÇÃO,3,Minas Gerais
67,1064,2021-01-03,14:05,201.91,CANCELADO,6,Santa Catarina
68,1065,2021-01-27,15:01,217.13,CANCELADO,4,Goiás
69,1066,2020-06-23,21:38,267.68,COMPRA,2,Goiás
70,1067,2020-06-08,04:35,60.63,COMPRA,3,Pernambuco
71,1068,2020-03-22,01:18,192.75,COMPRA,4,Rio Grande do Sul
72,1069,2021-03-02,10:47,33.41,CANCELADO,4,Santa Catarina
73,1070,2020-07-13,06:39,175.07,COMPRA,2,Rio Grande do Sul
74,1071,2020-05-01,00:56,108.19,CANCELADO,4,Pernambuco
75,1072,2020-03-09,17:15,203.83,DEVOLUÇÃO,5,Pernambuco
76,1073,2020-10-12,19:00,219.37,COMPRA,1,Rio Grande do Sul
77,1074,2020-07-10,19:09,42.67,DEVOLUÇÃO,4,Paraná
78,1075,2020-03-14,06:25,212.77,COMPRA,4,Pará
79,1076,2020-10-06,09:58,31.83,CANCELADO,3,Pernambuco
80,1077,2021-02-26,22:59,253.85,DEVOLUÇÃO,4,Paraná
81,1078,2021-02-12,11:27,213.34,COMPRA,5,Maranhão
82,1079,2020-07-26,04:38,235.10,CANCELADO,6,Pernambuco
83,1080,2020-12-06,11:03,215.91,CANCELADO,3,Minas Gerais
84,1081,2020-11-11,21:30,148.31,COMPRA,5,Pará
85,1082,2020-12-14,20:26,122.57,DEVOLUÇÃO,3,Santa Catarina
86,1083,2020-07-08,03:32,61.38,CANCELADO,4,Minas Gerais
87,1084,2020-04-06,05:27,223.73,DEVOLUÇÃO,5,Ceará
88,1085,2021-03-15,16:52,194.76,COMPRA,5,Paraíba
89,1086,2021-01-23,05:15,23.42,COMPRA,2,Pernambuco
90,1087,2020-03-11,15:28,97.15,COMPRA,2,Bahia
91,1088,2021-03-29,15:00,225.70,DEVOLUÇÃO,5,Minas Gerais
92,1089,2020-03-23,14:27,229.69,CANCELADO,3,Minas Gerais
93,1090,2020-03-05,15:13,82.20,CANCELADO,4,Maranhão
94,1091,2020-04-01,10:43,175.75,CANCELADO,2,Ceará
95,1092,2020-09-08,13:42,157.98,COMPRA,3,Paraná
96,1093,2021-03-07,21:54,149.43,COMPRA,2,Santa Catarina
97,1094,2021-03-15,03:31,19.66,DEVOLUÇÃO,3,Rio Grande do Sul
98,1095,2020-08-24,21:26,110.60,COMPRA,6,Minas Gerais
99,1096,2020-07-29,01:10,217.53,CANCELADO,4,Rio Grande do Sul
100,1097,2021-01-20,23:44,118.11,COMPRA,3,Rio Grande do Sul
101,1098,2020-04-10,10:56,194.74,CANCELADO,6,Santa Catarina
102,1099,2020-11-14,01:06,111.26,DEVOLUÇÃO,5,Ceará
103,1100,2020-05-22,03:14,206.01,COMPRA,5,São Paulo
104,1101,2020-08-13,07:46,79.38,DEVOLUÇÃO,1,Bahia
105,1102,2020-05-23,05:05,110.96,DEVOLUÇÃO,6,Pernambuco
106,1103,2020-11-21,07:11,70.62,CANCELADO,4,Goiás
107,1104,2020-04-22,17:01,217.20,COMPRA,4,Minas Gerais
108,1105,2020-04-03,05:32,265.08,DEVOLUÇÃO,4,Maranhão
109,1106,2020-05-06,20:35,52.86,COMPRA,1,São Paulo
110,1107,2020-05-26,17:19,233.63,DEVOLUÇÃO,3,Maranhão
111,1108,2021-01-12,02:33,230.06,CANCELADO,3,Goiás
112,1109,2020-04-14,07:23,267.33,CANCELADO,5,São Paulo
113,1110,2021-02-21,15:16,173.81,DEVOLUÇÃO,6,São Paulo
114,1111,2020-09-06,15:47,201.47,CANCELADO,2,Paraná
115,1112,2020-09-21,21:52,232.17,CANCELADO,4,Goiás
116,1113,2020-04-07,21:52,265.79,DEVOLUÇÃO,3,Rio Grande do Sul
117,1114,2020-09-18,04:11,247.98,CANCELADO,3,Pernambuco
118,1115,2020-11-22,21:57,186.73,CANCELADO,5,Ceará
119,1116,2020-06-07,16:02,50.54,DEVOLUÇÃO,4,Pará
120,1117,2020-10-15,08:25,86.22,DEVOLUÇÃO,2,Paraná
121,1118,2020-07-07,05:48,233.47,CANCELADO,2,Paraíba
122,1119,2021-02-08,07:37,217.00,CANCELADO,4,Rio de Janeiro
123,1120,2020-07-24,13:22,106.82,DEVOLUÇÃO,2,Rio Grande do Sul
124,1121,2020-06-01,10:20,163.64,COMPRA,7,Pará
125,1122,2021-01-04,14:44,129.36,DEVOLUÇÃO,5,Bahia
126,1123,2020-11-06,11:24,206.30,DEVOLUÇÃO,4,São Paulo
127,1124,2021-01-13,02:09,220.01,COMPRA,5,Ceará
128,1125,2021-02-11,16:38,222.52,DEVOLUÇÃO,6,Bahia
129,1126,2021-03-13,07:52,165.78,COMPRA,2,Maranhão
130,1127,2020-11-14,05:47,239.36,DEVOLUÇÃO,2,Pernambuco
131,1128,2021-02-28,11:04,181.95,COMPRA,5,Rio Grande do Sul
132,1129,2020-12-11,05:06,219.30,DEVOLUÇÃO,1,Rio Grande do Sul
133,1130,2020-12-29,17:47,52.24,DEVOLUÇÃO,2,Maranhão
134,1131,2020-12-05,17:00,221.28,COMPRA,7,São Paulo
135,1132,2021-02-17,06:11,90.01,DEVOLUÇÃO,2,Paraná
136,1133,2020-11-12,18:55,53.03,DEVOLUÇÃO,5,Goiás
137,1134,2020-06-30,04:40,172.23,CANCELADO,5,Paraíba
138,1135,2020-04-09,10:55,49.71,DEVOLUÇÃO,5,Rio Grande do Sul
139,1136,2020-12-27,11:19,111.32,COMPRA,4,Paraná
140,1137,2020-09-21,10:57,210.64,DEVOLUÇÃO,6,São Paulo
141,1138,2020-10-10,07:54,88.63,DEVOLUÇÃO,5,Santa Catarina
142,1139,2020-05-14,18:47,173.95,COMPRA,6,Pará
143,1140,2020-06-10,03:48,61.48,DEVOLUÇÃO,4,Pará
144,1141,2021-02-25,22:50,49.45,CANCELADO,5,Ceará
145,1142,2020-05-03,19:05,37.23,COMPRA,4,Ceará
146,1143,2020-05-26,23:55,62.50,CANCELADO,5,Goiás
147,1144,2021-02-21,02:17,81.90,COMPRA,6,Paraná
148,1145,2020-10-16,23:15,53.47,DEVOLUÇÃO,7,Paraíba
149,1146,2020-10-01,10:55,204.77,DEVOLUÇÃO,2,Rio Grande do Sul
150,1147,2020-11-15,22:28,212.06,DEVOLUÇÃO,4,Goiás
151,1148,2020-05-07,16:12,25.12,CANCELADO,3,Goiás
152,1149,2020-09-01,07:54,54.21,COMPRA,5,São Paulo
153,1150,2021-01-25,15:13,167.87,COMPRA,2,Maranhão
154,1151,2021-03-13,06:01,135.62,DEVOLUÇÃO,4,Paraíba
155,1152,2020-09-16,16:07,88.52,COMPRA,6,São Paulo
156,1153,2021-03-12,05:53,74.20,COMPRA,3,Goiás
157,1154,2021-02-18,14:13,121.04,DEVOLUÇÃO,2,Minas Gerais
158,1155,2020-10-09,16:18,105.31,DEVOLUÇÃO,5,Rio Grande do Sul
159,1156,2020-08-31,01:46,25.17,CANCELADO,6,Rio Grande do Sul
160,1157,2020-11-22,01:56,35.64,CANCELADO,4,Goiás
161,1158,2021-03-13,12:47,244.94,DEVOLUÇÃO,6,Pará
162,1159,2020-05-02,23:02,85.15,COMPRA,1,Rio Grande do Sul
163,1160,2020-09-09,20:35,263.95,DEVOLUÇÃO,5,Paraíba
164,1161,2020-11-27,03:14,268.37,COMPRA,3,Maranhão
165,1162,2020-03-23,14:58,191.99,COMPRA,7,Santa Catarina
166,1163,2020-10-29,15:38,35.17,DEVOLUÇÃO,6,Pernambuco
167,1164,2020-09-07,04:22,189.48,DEVOLUÇÃO,2,Rio de Janeiro
168,1165,2021-01-22,16:41,142.53,CANCELADO,4,Paraíba
169,1166,2020-08-27,22:59,208.16,DEVOLUÇÃO,3,Minas Gerais
170,1167,2020-11-09,16:11,100.51,DEVOLUÇÃO,3,Rio de Janeiro
171,1168,2020-07-16,10:34,255.55,CANCELADO,5,Bahia
172,1169,2020-11-07,12:48,220.06,CANCELADO,6,São Paulo
173,1170,2020-10-15,19:46,93.17,CANCELADO,6,Minas Gerais
174,1171,2021-03-06,12:59,222.10,DEVOLUÇÃO,7,Paraná
175,1172,2020-07-18,21:53,218.42,CANCELADO,6,Ceará
176,1173,2021-02-15,14:10,249.59,CANCELADO,1,Pará
177,1174,2020-07-23,16:46,138.82,DEVOLUÇÃO,1,Rio de Janeiro
178,1175,2020-06-30,03:05,108.15,DEVOLUÇÃO,7,Rio de Janeiro
179,1176,2020-09-26,11:00,151.53,DEVOLUÇÃO,3,Minas Gerais
180,1177,2020-12-01,21:07,205.57,DEVOLUÇÃO,5,Bahia
181,1178,2020-05-28,16:49,263.46,COMPRA,6,Ceará
182,1179,2020-03-30,17:29,142.59,CANCELADO,3,Minas Gerais
183,1180,2020-03-27,23:12,242.36,COMPRA,3,Pará
184,1181,2020-12-07,03:30,75.27,CANCELADO,4,Paraná
185,1182,2020-12-23,22:47,235.05,CANCELADO,6,Rio Grande do Sul
186,1183,2020-04-15,04:50,176.99,CANCELADO,2,Rio Grande do Sul
187,1184,2020-10-29,18:08,175.32,COMPRA,2,Maranhão
188,1185,2020-10-20,17:18,251.41,COMPRA,3,Goiás
189,1186,2020-05-04,14:50,32.61,CANCELADO,2,Paraná
190,1187,2020-09-07,01:05,120.46,COMPRA,4,Minas Gerais
191,1188,2020-07-28,21:17,243.40,COMPRA,2,Ceará
192,1189,2020-06-13,17:13,191.32,CANCELADO,3,Minas Gerais
193,1190,2020-04-20,06:51,116.18,COMPRA,6,Maranhão
194,1191,2020-05-18,02:36,88.80,CANCELADO,4,Paraná
195,1192,2020-08-31,13:58,144.47,DEVOLUÇÃO,4,Santa Catarina
196,1193,2020-05-02,16:17,204.06,CANCELADO,3,Paraíba
197,1194,2020-03-28,11:38,84.52,CANCELADO,5,Paraíba
198,1195,2020-05-15,17:04,155.61,COMPRA,3,Ceará
199,1196,2021-03-14,05:10,60.56,CANCELADO,6,Rio Grande do Sul
200,1197,2020-11-01,12:48,48.58,COMPRA,5,São Paulo
201,1198,2020-03-18,04:49,34.49,COMPRA,5,Bahia
202,1199,2020-03-20,11:46,73.63,COMPRA,5,Santa Catarina
203,1200,2020-10-16,05:46,159.23,COMPRA,4,Paraná
204,1201,2020-06-27,06:49,162.58,CANCELADO,5,Bahia
205,1202,2020-03-16,19:00,34.24,CANCELADO,3,Paraíba
206,1203,2020-04-28,23:26,180.34,CANCELADO,5,Goiás
207,1204,2020-09-27,03:11,224.32,CANCELADO,4,Ceará
208,1205,2021-03-13,23:43,49.70,CANCELADO,3,Rio Grande do Sul
209,1206,2020-04-18,18:19,68.01,DEVOLUÇÃO,2,Minas Gerais
210,1207,2021-03-04,14:17,125.78,DEVOLUÇÃO,5,Paraná
211,1208,2021-01-24,23:48,216.53,COMPRA,3,Bahia
212,1209,2020-12-29,17:33,140.56,CANCELADO,2,Rio Grande do Sul
213,1210,2020-09-28,13:00,144.15,DEVOLUÇÃO,5,Paraná
214,1211,2020-05-20,22:22,118.51,COMPRA,6,Goiás
215,1212,2021-01-30,05:52,225.58,DEVOLUÇÃO,1,São Paulo
216,1213,2020-05-17,06:50,144.48,DEVOLUÇÃO,2,Paraná
217,1214,2021-03-07,01:18,146.46,DEVOLUÇÃO,4,Ceará
218,1215,2020-08-04,23:30,24.21,COMPRA,5,Rio de Janeiro
219,1216,2020-10-24,07:15,199.35,COMPRA,3,Bahia
220,1217,2021-02-06,04:10,154.77,CANCELADO,1,Rio Grande do Sul
221,1218,2020-06-07,14:31,103.46,COMPRA,3,Bahia
222,1219,2020-12-23,18:31,124.18,DEVOLUÇÃO,5,Bahia
223,1220,2020-04-24,07:55,196.74,CANCELADO,4,Maranhão
224,1221,2020-12-31,18:35,203.04,COMPRA,5,Maranhão
225,1222,2020-06-02,15:16,119.47,COMPRA,6,Pernambuco
226,1223,2021-02-08,19:59,199.30,CANCELADO,6,Maranhão
227,1224,2020-03-09,18:13,22.22,CANCELADO,4,Goiás
228,1225,2021-03-30,04:54,71.35,CANCELADO,3,Paraná
229,1226,2021-01-26,04:58,160.47,COMPRA,4,Minas Gerais
230,1227,2020-08-26,10:25,22.60,CANCELADO,5,Paraná
231,1228,2020-06-14,21:38,164.97,CANCELADO,5,Paraná
232,1229,2020-04-22,11:22,90.01,DEVOLUÇÃO,6,Santa Catarina
233,1230,2020-06-02,13:23,70.39,CANCELADO,4,Pernambuco
234,1231,2021-01-24,07:25,185.06,DEVOLUÇÃO,3,Minas Gerais
235,1232,2020-08-29,20:02,165.20,CANCELADO,2,Ceará
236,1233,2020-10-04,04:03,194.60,DEVOLUÇÃO,6,Pernambuco
237,1234,2021-01-13,23:47,42.95,CANCELADO,7,Paraná
238,1235,2020-08-18,19:02,180.05,COMPRA,1,São Paulo
239,1236,2020-03-06,11:14,256.05,CANCELADO,4,São Paulo
240,1237,2020-05-10,13:43,184.18,CANCELADO,5,Goiás
241,1238,2020-09-09,05:16,21.53,CANCELADO,1,Minas Gerais
242,1239,2021-03-07,13:30,233.92,DEVOLUÇÃO,5,Paraná
243,1240,2020-08-14,14:56,167.53,CANCELADO,5,Minas Gerais
244,1241,2021-01-29,18:58,70.81,DEVOLUÇÃO,2,Santa Catarina
245,1242,2020-04-19,07:17,213.40,COMPRA,2,Paraná
246,1243,2020-04-21,23:49,46.32,COMPRA,5,Paraíba
247,1244,2020-08-27,03:07,153.08,COMPRA,4,São Paulo
248,1245,2020-12-09,02:41,254.01,DEVOLUÇÃO,6,Bahia
249,1246,2020-08-27,03:13,40.18,DEVOLUÇÃO,1,Rio de Janeiro
250,1247,2020-09-22,02:50,32.68,COMPRA,2,Santa Catarina
251,1248,2020-03-22,16:58,25.69,COMPRA,6,Santa Catarina
252,1249,2020-04-24,08:35,38.77,CANCELADO,4,Rio de Janeiro
253,1250,2020-12-05,07:19,269.83,CANCELADO,2,Pernambuco
254,1251,2020-06-14,10:06,215.53,DEVOLUÇÃO,6,Maranhão
255,1252,2020-12-22,23:07,233.01,CANCELADO,5,Paraíba
256,1253,2020-06-17,08:21,77.06,COMPRA,4,Maranhão
257,1254,2020-11-20,05:06,202.63,COMPRA,2,Bahia
258,1255,2020-09-10,23:41,173.73,DEVOLUÇÃO,3,Pernambuco
259,1256,2020-06-26,01:06,233.39,CANCELADO,4,Bahia
260,1257,2020-06-13,01:38,223.79,COMPRA,7,Goiás
261,1258,2020-12-26,03:53,73.72,CANCELADO,4,Pernambuco
262,1259,2020-04-19,09:14,60.73,DEVOLUÇÃO,5,Paraná
263,1260,2020-04-01,05:47,47.49,CANCELADO,3,Minas Gerais
264,1261,2021-01-13,17:35,65.72,CANCELADO,7,Pernambuco
265,1262,2021-03-24,19:00,227.68,CANCELADO,3,Paraíba
266,1263,2020-06-20,00:41,92.33,DEVOLUÇÃO,2,Maranhão
267,1264,2020-08-27,06:14,163.80,DEVOLUÇÃO,6,Paraná
268,1265,2020-12-22,07:05,56.46,COMPRA,4,Paraíba
269,1266,2020-11-01,14:29,33.40,COMPRA,4,Bahia
270,1267,2020-07-23,06:31,90.87,CANCELADO,4,Pernambuco
271,1268,2021-01-28,14:49,164.29,DEVOLUÇÃO,5,Pernambuco
272,1269,2020-05-14,04:01,203.39,COMPRA,3,Pernambuco
273,1270,2020-03-04,07:07,197.13,CANCELADO,4,Rio de Janeiro
274,1271,2020-04-03,03:59,103.56,DEVOLUÇÃO,5,Santa Catarina
275,1272,2020-10-23,03:56,177.31,CANCELADO,4,Bahia
276,1273,2021-02-18,04:51,159.38,DEVOLUÇÃO,1,Bahia
277,1274,2020-10-09,11:10,149.00,CANCELADO,2,Maranhão
278,1275,2020-11-08,20:47,59.84,CANCELADO,4,Pará
279,1276,2020-08-13,18:59,70.46,CANCELADO,5,Bahia
280,1277,2020-09-06,14:01,172.00,COMPRA,2,Minas Gerais
281,1278,2020-10-27,08:26,130.42,CANCELADO,1,Minas Gerais
282,1279,2020-04-04,03:56,94.21,COMPRA,6,Maranhão
283,1280,2020-08-16,12:40,154.37,DEVOLUÇÃO,6,Bahia
284,1281,2021-02-24,05:09,44.96,COMPRA,2,Maranhão
285,1282,2020-03-27,20:55,205.10,DEVOLUÇÃO,6,Pernambuco
286,1283,2020-06-15,10:14,258.55,COMPRA,5,Pará
287,1284,2020-11-23,03:03,173.71,CANCELADO,3,Ceará
288,1285,2021-02-06,02:40,257.42,COMPRA,4,Pernambuco
289,1286,2021-01-20,10:49,239.36,COMPRA,3,Minas Gerais
290,1287,2020-06-08,20:14,237.65,CANCELADO,2,Maranhão
291,1288,2020-10-24,20:49,74.50,CANCELADO,3,Paraná
292,1289,2020-12-24,14:52,158.99,COMPRA,6,Bahia
293,1290,2020-09-02,05:29,265.71,CANCELADO,2,Rio Grande do Sul
294,1291,2020-09-09,00:03,55.89,COMPRA,3,Bahia
295,1292,2020-12-20,01:11,40.06,CANCELADO,4,Minas Gerais
296,1293,2020-05-08,17:49,89.58,COMPRA,4,Rio Grande do Sul
297,1294,2020-09-13,04:10,86.22,COMPRA,4,Goiás
298,1295,2020-09-20,09:22,21.18,COMPRA,1,Bahia
299,1296,2021-01-26,10:49,145.45,DEVOLUÇÃO,5,São Paulo
300,1297,2020-06-03,16:13,79.31,COMPRA,5,Rio Grande do Sul
301,1298,2020-04-14,22:43,142.08,COMPRA,4,Maranhão
302,1299,2021-03-03,23:32,227.62,CANCELADO,3,Santa Catarina
303,1300,2020-06-22,11:40,160.69,COMPRA,3,Ceará
304,1301,2020-09-16,15:02,48.18,COMPRA,4,Paraná
305,1302,2020-12-31,05:06,132.09,COMPRA,5,Paraná
306,1303,2020-12-08,13:03,177.89,COMPRA,5,Minas Gerais
307,1304,2020-06-18,13:27,115.83,DEVOLUÇÃO,1,Ceará
308,1305,2021-01-12,15:15,256.40,COMPRA,6,Bahia
309,1306,2021-03-04,12:23,134.45,COMPRA,5,Minas Gerais
310,1307,2020-05-18,10:38,21.40,DEVOLUÇÃO,5,Rio de Janeiro
311,1308,2021-02-02,11:39,79.72,COMPRA,7,Bahia
312,1309,2020-08-05,18:42,66.59,CANCELADO,3,Ceará
313,1310,2020-07-21,05:48,32.07,CANCELADO,4,Ceará
314,1311,2020-10-29,11:24,142.22,DEVOLUÇÃO,6,Paraná
315,1312,2020-04-27,00:23,210.29,CANCELADO,3,Minas Gerais
316,1313,2020-11-30,17:20,74.63,COMPRA,2,Ceará
317,1314,2020-04-18,17:57,253.68,COMPRA,6,Paraíba
318,1315,2021-02-20,21:45,214.69,COMPRA,2,São Paulo
319,1316,2020-04-08,18:21,210.23,DEVOLUÇÃO,4,Ceará
320,1317,2020-08-10,08:21,217.48,CANCELADO,5,Paraíba
321,1318,2020-04-03,09:45,187.51,CANCELADO,3,Ceará
322,1319,2020-11-10,17:37,140.91,CANCELADO,2,Paraíba
323,1320,2020-08-15,02:14,123.60,COMPRA,6,Ceará
324,1321,2021-01-28,23:42,201.18,CANCELADO,4,Paraíba
325,1322,2020-03-30,08:47,75.68,DEVOLUÇÃO,3,Rio Grande do Sul
326,1323,2020-08-17,00:02,199.16,CANCELADO,2,Bahia
327,1324,2020-08-31,12:50,237.36,CANCELADO,2,Paraíba
328,1325,2020-05-08,06:25,195.23,DEVOLUÇÃO,1,Bahia
329,1326,2021-02-12,07:42,239.91,DEVOLUÇÃO,3,Santa Catarina
330,1327,2020-10-03,07:37,179.31,COMPRA,4,Maranhão
331,1328,2020-07-29,13:17,103.81,DEVOLUÇÃO,6,Goiás
332,1329,2020-10-07,21:13,227.06,DEVOLUÇÃO,7,Pará
333,1330,2021-02-18,21:36,117.36,CANCELADO,6,Paraná
334,1331,2021-01-12,16:04,218.18,CANCELADO,5,Goiás
335,1332,2020-11-24,04:24,156.63,COMPRA,5,Maranhão
336,1333,2020-12-28,14:20,91.18,DEVOLUÇÃO,4,Rio de Janeiro
337,1334,2020-09-03,03:13,26.38,DEVOLUÇÃO,6,Ceará
338,1335,2021-02-01,09:19,95.54,COMPRA,5,Paraíba
339,1336,2020-10-14,22:21,184.04,COMPRA,3,Paraná
340,1337,2020-04-17,02:20,175.95,CANCELADO,3,Rio Grande do Sul
341,1338,2021-02-15,00:17,154.27,COMPRA,6,Minas Gerais
342,1339,2021-03-07,09:23,135.04,DEVOLUÇÃO,7,São Paulo
343,1340,2020-06-18,12:52,99.76,CANCELADO,2,Santa Catarina
344,1341,2020-08-11,05:06,26.55,COMPRA,7,Rio Grande do Sul
345,1342,2020-10-26,16:17,124.59,CANCELADO,3,Rio Grande do Sul
346,1343,2020-08-07,18:01,35.06,COMPRA,5,Bahia
347,1344,2020-12-20,12:33,168.52,COMPRA,6,Santa Catarina
348,1345,2021-03-02,21:42,113.44,DEVOLUÇÃO,5,Goiás
349,1346,2020-10-09,13:20,152.50,CANCELADO,2,Paraná
350,1347,2020-09-21,20:25,68.01,DEVOLUÇÃO,2,Bahia
351,1348,2020-05-25,01:02,209.43,COMPRA,3,Paraíba
352,1349,2020-06-07,03:35,174.15,COMPRA,2,São Paulo
353,1350,2020-09-07,08:08,135.99,DEVOLUÇÃO,4,Pernambuco
354,1351,2020-04-29,13:35,218.73,COMPRA,4,Pernambuco
355,1352,2021-01-16,17:25,247.83,CANCELADO,6,Paraíba
356,1353,2020-07-25,02:47,190.52,COMPRA,5,Goiás
357,1354,2020-12-07,17:46,227.58,CANCELADO,2,Pernambuco
358,1355,2020-12-03,04:25,198.78,COMPRA,4,Maranhão
359,1356,2020-04-19,12:23,133.29,DEVOLUÇÃO,2,Maranhão
360,1357,2020-06-08,10:16,177.38,CANCELADO,3,Ceará
361,1358,2020-12-02,03:21,207.43,DEVOLUÇÃO,3,Goiás
362,1359,2020-12-26,14:02,248.34,DEVOLUÇÃO,5,Minas Gerais
363,1360,2020-12-30,18:50,216.78,DEVOLUÇÃO,7,Rio Grande do Sul
364,1361,2020-06-14,03:23,46.00,COMPRA,4,Maranhão
365,1362,2020-04-27,15:50,181.68,CANCELADO,6,Pará
366,1363,2020-10-21,04:18,108.92,DEVOLUÇÃO,2,São Paulo
367,1364,2020-05-16,08:18,145.81,DEVOLUÇÃO,3,Santa Catarina
368,1365,2021-03-02,01:05,236.44,CANCELADO,6,Pernambuco
369,1366,2020-09-09,19:04,186.34,CANCELADO,1,Pará
370,1367,2021-03-23,17:57,232.85,CANCELADO,4,Pará
371,1368,2020-09-27,21:44,140.02,DEVOLUÇÃO,3,Pernambuco
372,1369,2020-11-28,20:52,205.99,DEVOLUÇÃO,4,Pará
373,1370,2020-05-13,20:38,26.22,DEVOLUÇÃO,7,São Paulo
374,1371,2021-02-23,01:59,234.30,DEVOLUÇÃO,2,Minas Gerais
375,1372,2020-04-03,21:35,86.30,CANCELADO,2,Rio Grande do Sul
376,1373,2020-05-28,07:57,85.68,CANCELADO,4,Santa Catarina
377,1374,2020-12-15,04:07,98.17,DEVOLUÇÃO,5,Pará
378,1375,2020-04-24,18:53,85.84,COMPRA,4,Goiás
379,1376,2020-09-02,08:21,181.93,DEVOLUÇÃO,5,Goiás
380,1377,2020-12-15,22:51,83.65,CANCELADO,6,Minas Gerais
